year,winner,cup,desc,points,GF,GA
1907,1,1,Premier League,76,81,48
1907,0,2,League Cup,0,0,0
1907,0,3,FA Cup,0,0,0
1907,0,4,Community Shield,0,0,0
1908,0,1,Premier League,0,0,0
1908,0,2,League Cup,0,0,0
1908,1,3,FA Cup,0,0,0
1908,1,4,Community Shield,0,0,0
1909,0,1,Premier League,0,0,0
1909,0,2,League Cup,0,0,0
1909,0,3,FA Cup,0,0,0
1909,0,4,Community Shield,0,0,0
1910,1,1,Premier League,74,72,40
1910,0,2,League Cup,0,0,0
1910,0,3,FA Cup,0,0,0
1910,0,4,Community Shield,0,0,0
1911,0,1,Premier League,0,0,0
1911,0,2,League Cup,0,0,0
1911,0,3,FA Cup,0,0,0
1911,1,4,Community Shield,0,0,0
1947,0,1,Premier League,0,0,0
1947,0,2,League Cup,0,0,0
1947,1,3,FA Cup,0,0,0
1947,0,4,Community Shield,0,0,0
1951,1,1,Premier League,80,95,52
1951,0,2,League Cup,0,0,0
1951,0,3,FA Cup,0,0,0
1951,0,4,Community Shield,0,0,0
1952,0,1,Premier League,0,0,0
1952,0,2,League Cup,0,0,0
1952,0,3,FA Cup,0,0,0
1952,1,4,Community Shield,0,0,0
1955,1,1,Premier League,0,0,0
1955,0,2,League Cup,0,0,0
1955,0,3,FA Cup,0,0,0
1955,0,4,Community Shield,0,0,0
1956,1,1,Premier League,0,0,0
1956,0,2,League Cup,0,0,0
1956,0,3,FA Cup,0,0,0
1956,1,4,Community Shield,0,0,0
1957,0,1,Premier League,0,0,0
1957,0,2,League Cup,0,0,0
1957,0,3,FA Cup,0,0,0
1957,1,4,Community Shield,0,0,0
1962,0,1,Premier League,0,0,0
1962,0,2,League Cup,0,0,0
1962,1,3,FA Cup,0,0,0
1962,0,4,Community Shield,0,0,0
1964,1,1,Premier League,0,0,0
1964,0,2,League Cup,0,0,0
1964,0,3,FA Cup,0,0,0
1964,0,4,Community Shield,0,0,0
1966,1,1,Premier League,0,0,0
1966,0,2,League Cup,0,0,0
1966,0,3,FA Cup,0,0,0
1966,0,4,Community Shield,0,0,0
1967,0,1,Premier League,0,0,0
