year,winner,cup,desc,points,GF,GA,pos,manager,country
1969,0,1,Premier League,59,66,61,8,Matt Busby,England
1970,0,1,Premier League,59,65,66,8,Matt Busby,Scotland
1971,0,1,Premier League,67,69,61,8,Frank O'Farrell,Ireland
1972,0,1,Premier League,49,44,60,18,Tommy Docherty,Scotland
1973,0,1,Premier League,42,38,48,21,Tommy Docherty,Scotland
1975,0,1,Premier League,79,68,42,3,Tommy Docherty,Scotland
1976,0,1,Premier League,65,71,62,6,Tommy Docherty,Scotland
1977,0,1,Premier League,58,67,63,10,Dave Sexton,England
1978,0,1,Premier League,60,60,63,9,Dave Sexton,England
1979,0,1,Premier League,82,65,35,2,Dave Sexton,England
1980,0,1,Premier League,63,51,36,8,Dave Sexton,England
1981,0,1,Premier League,78,59,29,3,Ron Atkinson,England
1982,0,1,Premier League,70,56,38,3,Ron Atkinson,England
1983,0,1,Premier League,74,71,41,4,Ron Atkinson,England
1984,0,1,Premier League,76,77,47,4,Ron Atkinson,England
1985,0,1,Premier League,76,70,36,4,Ron Atkinson,England
1986,0,1,Premier League,56,52,45,11,Alex Ferguson,Scotland
1987,0,1,Premier League,81,71,38,2,Alex Ferguson,Scotland
1988,0,1,Premier League,51,45,35,11,Alex Ferguson,Scotland
1989,0,1,Premier League,48,46,47,13,Alex Ferguson,Scotland
1990,0,1,Premier League,60,58,45,6,Alex Ferguson,Scotland
1991,0,1,Premier League,78,63,33,2,Alex Ferguson,Scotland
1992,1,1,Premier League,84,67,31,1,Alex Ferguson,Scotland
1993,1,1,Premier League,92,80,38,1,Alex Ferguson,Scotland
1994,0,1,Premier League,88,77,28,2,Alex Ferguson,Scotland
1995,1,1,Premier League,82,73,35,1,Alex Ferguson,Scotland
1996,1,1,Premier League,75,76,44,1,Alex Ferguson,Scotland
1997,0,1,Premier League,77,73,26,2,Alex Ferguson,Scotland
1998,1,1,Premier League,79,80,37,1,Alex Ferguson,Scotland
1999,1,1,Premier League,91,97,45,1,Alex Ferguson,Scotland
2000,0,1,Premier League,80,79,31,1,Alex Ferguson,Scotland
2001,0,1,Premier League,77,87,45,3,Alex Ferguson,Scotland
2002,1,1,Premier League,83,74,34,1,Alex Ferguson,Scotland
2003,0,1,Premier League,75,64,35,3,Alex Ferguson,Scotland
2004,0,1,Premier League,77,58,26,3,Alex Ferguson,Scotland
2005,0,1,Premier League,83,72,34,2,Alex Ferguson,Scotland
2006,1,1,Premier League,89,83,27,1,Alex Ferguson,Scotland
2007,1,1,Premier League,87,80,22,1,Alex Ferguson,Scotland
2008,1,1,Premier League,90,68,24,1,Alex Ferguson,Scotland
2009,0,1,Premier League,85,86,28,2,Alex Ferguson,Scotland
2010,1,1,Premier League,80,78,37,1,Alex Ferguson,Scotland
2011,0,1,Premier League,89,89,33,2,Alex Ferguson,Scotland
2012,1,1,Premier League,89,86,43,1,Alex Ferguson,Scotland
2013,0,1,Premier League,64,64,43,7,David Moyes,Scotland
2014,0,1,Premier League,70,62,37,4,Louis Van Gaal,Netherlands
2015,0,1,Premier League,66,49,35,5,Louis Van Gaal,Netherlands
2016,0,1,Premier League,69,54,29,6,Jose Mourinho,Portugal
2017,0,1,Premier League,81,68,28,2,Jose Mourinho,Portugal
2018,0,1,Premier League,66,65,54,6,Jose Mourinho,Portugal
2019,0,1,Premier League,66,66,36,3,Ole Gunnar Solskjaer,Norway
